title,price,subtitle,city
3-комнатная квартира · 92 м² · 12/12 этаж,68 000 000 〒,"Медеуский р-н, НИЗКАЯ ЦЕНА Достык 33 ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ",Алматы
1-комнатная квартира · 39.1 м² · 4/9 этаж,35 000 000 〒,"Алмалинский р-н, Шевченко 129 — Муканова",Алматы
2-комнатная квартира · 52.8 м² · 11/12 этаж,36 000 000 〒,"Алатауский р-н, Бауыржана Момышулы",Алматы
3-комнатная квартира · 89 м² · 9/10 этаж,41 500 000 〒,"Алатауский р-н, мкр Акбулак 37 — Рыскулова Момышулы",Алматы
2-комнатная квартира · 70 м² · 2/3 этаж,53 500 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Какимбек Салыков 42",Алматы
2-комнатная квартира · 57.4 м² · 11/18 этаж,46 900 000 〒,"Бостандыкский р-н, Жандосова 94А — Срочная продажа",Алматы
3-комнатная квартира · 166.09 м²,от 230 865 100 〒,"Наурызбайский р-н, мкр Рахат, мкр. Рахат, ул. Култобе 1/2",Алматы
3-комнатная квартира · 109.3 м²,от 125 695 000 〒,"Медеуский р-н, Сагадат Нурмагамбетов 71",Алматы
3-комнатная квартира · 95.8 м²,от 75 682 000 〒,"Ауэзовский р-н, Аскарова — Саина",Алматы
2-комнатная квартира · 70 м² · 2/10 этаж,47 000 000 〒,"Наурызбайский р-н, Кенесары хана 54/33",Алматы
3-комнатная квартира · 84 м² · 10/16 этаж,65 000 000 〒,"Бостандыкский р-н, Бальзака 8В — Шолом-алейхема - Попова",Алматы
2-комнатная квартира · 70 м² · 3/9 этаж,39 000 000 〒,"Алатауский р-н, Суатколь — Рыскулова/ Момышулы",Алматы
2-комнатная квартира · 53 м² · 5/5 этаж,30 000 000 〒,"Жетысуский р-н, мкр Кокжиек",Алматы
3-комнатная квартира · 77 м² · 1/4 этаж,55 000 000 〒,"Бостандыкский р-н, мкр Алмагуль, Розыбакиева 153 В",Алматы
3-комнатная квартира · 54 м² · 4/4 этаж,41 000 000 〒,"Бостандыкский р-н, Масанчи — Сатпаева",Алматы
3-комнатная квартира · 96 м²,от 110 400 000 〒,"Медеуский р-н, Сагадат Нурмагамбетов 71",Алматы
3-комнатная квартира · 72.8 м²,от 26 208 000 〒,"Алатауский р-н, Момышулы, севернее ул. Монке би",Алматы
1-комнатная квартира · 35 м² · 9/9 этаж,17 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла 24",Алматы
4-комнатная квартира · 82.1 м² · 3/8 этаж,79 500 000 〒,"Бостандыкский р-н, Жаксылык Ушкемпиров",Алматы
4-комнатная квартира · 119 м² · 2/4 этаж,109 000 000 〒,"Наурызбайский р-н, мкр Рахат, Культобе 24/4 — Аскарова",Алматы
3-комнатная квартира · 79 м² · 18/21 этаж,97 500 000 〒,"Бостандыкский р-н, Аль-Фараби 27 — Сейфуллина",Алматы
2-комнатная квартира · 39 м² · 2/10 этаж,35 500 000 〒,"Наурызбайский р-н, Жунисова",Алматы
2-комнатная квартира · 45.6 м² · 9/12 этаж,44 000 000 〒,"Алмалинский р-н, Сейфулина 469а​",Алматы
3-комнатная квартира · 92 м² · 2/13 этаж,58 000 000 〒,"Алмалинский р-н, Муратбаева 14",Алматы
2-комнатная квартира · 49 м² · 12/13 этаж,29 000 000 〒,"Ауэзовский р-н, Райымбека 348/1",Алматы
1-комнатная квартира · 54 м² · 14/16 этаж,37 000 000 〒,"Ауэзовский р-н, Мамыр-1 29/4",Алматы
1-комнатная квартира · 45.65 м²,от 17 826 325 〒,пос. Гульдала,Алматы
1-комнатная квартира · 52.84 м²,от 50 198 000 〒,"Медеуский р-н, мкр Коктобе, Талгата Бигельдинова 138",Алматы
3-комнатная квартира · 109.95 м²,от 201 758 250 〒,"Медеуский р-н, мкр Горный Гигант, Оспанова 1а/11",Алматы
3-комнатная квартира · 98.96 м²,от 64 027 120 〒,"Турксибский р-н, Кульджинский тр-т 80/1",Алматы
4-комнатная квартира · 138.11 м²,от 113 526 420 〒,"Бостандыкский р-н, Лебедева 1/1",Алматы
3-комнатная квартира · 141.91 м²,от 289 354 490 〒,"Бостандыкский р-н, мкр Мирас, Саина 1а/1",Алматы
1-комнатная квартира · 40.5 м² · 11/17 этаж,35 500 000 〒,"Бостандыкский р-н, мкр Алмагуль, Егизбаева 7/7 — Егизбаева - Сатпаева",Алматы
2-комнатная квартира · 75 м² · 6 этаж,60 000 000 〒,"Бостандыкский р-н, Егизбаева 7/21",Алматы
1-комнатная квартира · 34 м² · 1/2 этаж,14 000 000 〒,"Алатауский р-н, Кисловодская 35",Алматы
2-комнатная квартира · 49 м² · 3/3 этаж,30 000 000 〒,"Турксибский р-н, Спасская 63Б",Алматы
1-комнатная квартира · 33 м² · 3/3 этаж,21 000 000 〒,"Турксибский р-н, мкр Алтай-1 8",Алматы
2-комнатная квартира · 110 м² · 3/22 этаж,85 000 000 〒,"Бостандыкский р-н, Бухар жырау 27/5",Алматы
3-комнатная квартира · 132 м² · 2/6 этаж,133 000 000 〒,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас",Алматы
4-комнатная квартира · 100 м² · 3/8 этаж,82 000 000 〒,"Бостандыкский р-н, Абая",Алматы
2-комнатная квартира · 70 м² · 6/21 этаж,59 500 000 〒,"Бостандыкский р-н, Розыбакиева 289 — Альфараби Розыбакиева",Алматы
2-комнатная квартира · 59.2 м² · 1/5 этаж,37 500 000 〒,"Медеуский р-н, мкр Думан-2 14 — Детского сада и школы",Алматы
2-комнатная квартира · 70 м² · 7/21 этаж,66 000 000 〒,"Алмалинский р-н, Варламова — Озеро Сайран",Алматы
2-комнатная квартира · 63.5 м² · 9/13 этаж,40 000 000 〒,"Жетысуский р-н, Есенова 160/3 — Баянаульская",Алматы
3-комнатная квартира · 95.7 м² · 2/9 этаж,25 000 000 〒,"Ауэзовский р-н, мкр Таугуль",Алматы
2-комнатная квартира · 78.8 м² · 6/17 этаж,63 000 000 〒,"Ауэзовский р-н, мкр Таугуль-1, Навои 39 — Пересечение Жандосова",Алматы
2-комнатная квартира · 60 м² · 4/9 этаж,38 500 000 〒,"Наурызбайский р-н, мкр Шугыла, Алем сити 2 340/35",Алматы
2-комнатная квартира · 50.07 м²,от 37 051 800 〒,"Алатауский р-н, Бауыржана Момышулы 11/14а",Алматы
5-комнатная квартира · 283 м²,от 380 000 000 〒,"Медеуский р-н, Аскар Тау 364",Алматы
2-комнатная квартира · 52.2 м² · 4/13 этаж,47 000 000 〒,"Алмалинский р-н, Муратбаева 14/1 — По Муратбаева, заезд с Райымбек батыра",Алматы
1-комнатная квартира · 28.2 м² · 2/10 этаж,28 500 000 〒,"Медеуский р-н, Тянь-Шанская 9г",Алматы
2-комнатная квартира · 48 м² · 9/13 этаж,26 500 000 〒,"Ауэзовский р-н, Райымбека 348/1",Алматы
2-комнатная квартира · 75 м² · 8/9 этаж,39 000 000 〒,"Турксибский р-н, мкр Кайрат, Туркестан 115 — ЖК ""Turar""",Алматы
3-комнатная квартира · 72 м² · 7/16 этаж,41 500 000 〒,"Алмалинский р-н, Ауэзова — Ул Гоголя",Алматы
2-комнатная квартира · 55.4 м² · 1/2 этаж,29 000 000 〒,"Турксибский р-н, Монтажная — Майлина",Алматы
2-комнатная квартира · 63.8 м² · 3/12 этаж,40 950 000 〒,"Ауэзовский р-н, мкр Жетысу-3",Алматы
4-комнатная квартира · 198.31 м²,от 312 338 250 〒,"Медеуский р-н, мкр Горный Гигант, Оспанова 1а/11",Алматы
3-комнатная квартира · 131.36 м²,от 108 503 360 〒,"Бостандыкский р-н, Лебедева 1/1",Алматы
1-комнатная квартира · 30 м² · 8/10 этаж,28 000 000 〒,"Ауэзовский р-н, Толе би — Толе би - Отеген Батыра",Алматы
1-комнатная квартира · 27.1 м² · 8/12 этаж,14 600 000 〒,"Алатауский р-н, мкр Аккент, Шарипа Омарова 12 — Фаризы Онгарсыновой",Алматы
2-комнатная квартира · 48 м² · 6/12 этаж,54 500 000 〒,"Медеуский р-н, Барибаева 43/6",Алматы
2-комнатная квартира · 77.2 м² · 4/4 этаж,85 000 000 〒,"Наурызбайский р-н, мкр Курамыс, Сейдимбек 100/4к6",Алматы
1-комнатная квартира · 42 м² · 9/9 этаж,30 000 000 〒,"Ауэзовский р-н, мкр Аксай-1А 31 — Толеби яссауи",Алматы
2-комнатная квартира · 80 м² · 11/12 этаж,89 000 000 〒,"Бостандыкский р-н, Басенова 10 — Розыбакиева",Алматы
4-комнатная квартира · 100 м² · 13/16 этаж,93 000 000 〒,"Бостандыкский р-н, Тлендиева 133 — Сатпаева 133/7",Алматы
2-комнатная квартира · 76 м² · 14/14 этаж,91 500 000 〒,"Бостандыкский р-н, Розыбакиева 388 — Альфараби/Розыбакиева",Алматы
2-комнатная квартира · 80.44 м²,от 156 858 000 〒,"Бостандыкский р-н, Радостовца 12",Алматы
3-комнатная квартира · 93 м² · 3/3 этаж,65 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, 13-я 40, 96",Алматы
3-комнатная квартира · 59 м² · 1/4 этаж,38 000 000 〒,"Ауэзовский р-н, мкр №7 24",Алматы
2-комнатная квартира · 52 м² · 6/13 этаж,46 500 000 〒,"Алмалинский р-н, Варламова — улица Варламова",Алматы
3-комнатная квартира · 63.3 м² · 5/5 этаж,34 000 000 〒,"Ауэзовский р-н, мкр Аксай-3 1 — Толе би момышулы",Алматы
3-комнатная квартира · 103.42 м²,от 69 291 400 〒,"Турксибский р-н, Кульджинский тр-т 80/1",Алматы
2-комнатная квартира · 48 м² · 1/4 этаж,29 500 000 〒,"Ауэзовский р-н, Кабдолова 4 — ТРЦ Гранд Парк",Алматы
2-комнатная квартира · 46 м² · 1/6 этаж,25 500 000 〒,"Наурызбайский р-н, мкр Шугыла, Жунисова2/13к6",Алматы
3-комнатная квартира · 166.6 м²,76 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак — Тастыбулак",Алматы
3-комнатная квартира · 88 м² · 6/9 этаж,51 000 000 〒,"Алатауский р-н, мкр Нуркент, Мкр Нуркент (Алгабас-1) 63 — Рыскулова",Алматы
4-комнатная квартира · 140.6 м² · 14/15 этаж,115 000 000 〒,"Ауэзовский р-н, Навои 66",Алматы
2-комнатная квартира · 80 м² · 8/14 этаж,61 500 000 〒,"Бостандыкский р-н, Хусаинова — Ескараева",Алматы
1-комнатная квартира · 40 м² · 8/9 этаж,21 800 000 〒,"Алатауский р-н, мкр Зердели, Мкр Зердели (Алгабас-6)",Алматы
2-комнатная квартира · 69 м² · 1/2 этаж,35 000 000 〒,"Алатауский р-н, мкр Алгабас, Камажай",Алматы
5-комнатная квартира · 275 м²,от 151 250 000 〒,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",Алматы
3-комнатная квартира · 106 м² · 4/8 этаж,120 000 000 〒,"Медеуский р-н, Омаровой 37",Алматы
2-комнатная квартира · 90.1 м² · 3/13 этаж,65 000 000 〒,"Алмалинский р-н, мкр Тастак-2, Варламова 33 — Варламова 33",Алматы
4-комнатная квартира · 100 м² · 9/20 этаж,75 688 888 〒,"Бостандыкский р-н, Абая 160 — Тургут Озала",Алматы
2-комнатная квартира · 44 м² · 1/4 этаж,31 000 000 〒,"Алмалинский р-н, Масанчи 44",Алматы
4-комнатная квартира · 111 м² · 7/10 этаж,66 000 000 〒,"Ауэзовский р-н, мкр Аксай-1А 28б",Алматы
1-комнатная квартира · 38 м² · 10/13 этаж,32 000 000 〒,"Жетысуский р-н, Есенова 160/3",Алматы
2-комнатная квартира · 68.3 м² · 5/13 этаж,87 000 000 〒,"Бостандыкский р-н, Жарокова 370 — Аль Фараби",Алматы
1-комнатная квартира · 30.4 м² · 1/5 этаж,31 000 000 〒,"Алмалинский р-н, Карасай батыра 180 — Жарокова",Алматы
1-комнатная квартира · 41 м² · 2/9 этаж,29 300 000 〒,"Алатауский р-н, мкр Аккент, Мкр. Аккент",Алматы
3-комнатная квартира · 125.74 м²,от 162 833 300 〒,"Наурызбайский р-н, мкр Рахат, мкр. Рахат, ул. Култобе 1/2",Алматы
2-комнатная квартира · 60.31 м²,от 21 711 600 〒,жилой массив Жана куат 76,Алматы
2-комнатная квартира · 54 м² · 8/12 этаж,36 000 000 〒,"Жетысуский р-н, Райымбека",Алматы
2-комнатная квартира · 67 м² · 4/5 этаж,32 500 000 〒,"Алатауский р-н, 13 мкр — Момышулы Монке би",Алматы
2-комнатная квартира · 57.33 м²,от 33 824 700 〒,"Турксибский р-н, Тараз",Алматы
4-комнатная квартира · 106.63 м²,от 69 416 130 〒,"Алатауский р-н, Бауыржана Момышулы 11/14а",Алматы
2-комнатная квартира · 54.6 м²,от 65 520 000 〒,"Медеуский р-н, Сагадат Нурмагамбетов 71",Алматы
2-комнатная квартира · 63 м² · 7/18 этаж,56 000 000 〒,"Бостандыкский р-н, Абая — Брусиловского",Алматы
4-комнатная квартира · 102 м² · 10/20 этаж,60 000 000 〒,"Бостандыкский р-н, Тургут Озала 237 — проспект Абая",Алматы
4-комнатная квартира · 108.4 м² · 10/10 этаж,56 000 000 〒,"Наурызбайский р-н, Кенесары хана 54/28 — Аль Фараби",Алматы
2-комнатная квартира · 58 м² · 6/12 этаж,32 500 000 〒,"Алатауский р-н, мкр Дарабоз 59 — Возле Алматы Арена",Алматы
2-комнатная квартира · 63 м² · 5/5 этаж,49 000 000 〒,"Медеуский р-н, Назарбаева 42",Алматы
3-комнатная квартира · 36 м² · 3/3 этаж,19 000 000 〒,"Жетысуский р-н, Галилея 65 — Ташкентская Байзакова (ниже Ташкентской)",Алматы
3-комнатная квартира · 83 м² · 8/16 этаж,49 999 999 〒,"Наурызбайский р-н, Абишева",Алматы
1-комнатная квартира · 54.57 м²,от 51 841 500 〒,"Медеуский р-н, мкр Коктобе, Талгата Бигельдинова 138",Алматы
1-комнатная квартира · 36.7 м²,от 28 259 000 〒,"Жетысуский р-н, Райымбека — Суюнбая",Алматы
3-комнатная квартира · 81.57 м²,от 97 884 000 〒,"Алмалинский р-н, Ади Шарипова 100",Алматы
1-комнатная квартира · 20.6 м² · 1/4 этаж,18 000 000 〒,"Ауэзовский р-н, мкр №10, Жандосова 59в — Джандосова и Берегового",Алматы
2-комнатная квартира · 54.1 м² · 2/15 этаж,40 500 000 〒,"Бостандыкский р-н, Жандосова 94А",Алматы
2-комнатная квартира · 56 м² · 1/3 этаж,36 000 000 〒,"Алатауский р-н, мкр Теректы 5",Алматы
3-комнатная квартира · 80 м² · 5/5 этаж,43 700 000 〒,"Наурызбайский р-н, Алтын Орда 6/35",Алматы
2-комнатная квартира · 64.5 м² · 2/6 этаж,41 300 000 〒,"Турксибский р-н, Тараз 8/1",Алматы
2-комнатная квартира · 64 м² · 12/15 этаж,37 000 000 〒,"Алмалинский р-н, Толе би",Алматы
2-комнатная квартира · 52 м² · 4/5 этаж,31 000 000 〒,"Наурызбайский р-н, мкр Калкаман-1, Ашимова — Райымбека",Алматы
2-комнатная квартира · 64 м² · 1/1 этаж,23 000 000 〒,"Турксибский р-н, мкр Жулдыз-1 17в",Алматы
1-комнатная квартира · 37.85 м²,от 14 780 425 〒,пос. Гульдала,Алматы
2-комнатная квартира · 62.4 м² · 2/15 этаж,47 000 000 〒,"Бостандыкский р-н, Жандосова 94А",Алматы
2-комнатная квартира · 62.8 м² · 5/10 этаж,58 000 000 〒,"Бостандыкский р-н, Гагарина 244 — Ходжанова",Алматы
2-комнатная квартира · 93 м² · 13/16 этаж,35 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жуалы",Алматы
3-комнатная квартира · 90 м² · 6/9 этаж,47 500 000 〒,"Алатауский р-н, мкр Аккент, Мкр. Аккент 28",Алматы
3-комнатная квартира · 80 м² · 4/6 этаж,36 500 000 〒,"Наурызбайский р-н, Жунисова",Алматы
1-комнатная квартира · 43 м²,от 17 200 000 〒,И. Жансугурова 90е,Алматы
2-комнатная квартира · 73.7 м²,от 42 746 000 〒,"Наурызбайский р-н, мкр Таусамалы, Жандосова 70а",Алматы
3-комнатная квартира · 58.4 м² · 3/4 этаж,37 500 000 〒,"Бостандыкский р-н, мкр Алмагуль, ул. Жарокова 217 — По ул. Жарокова выше Тимирязева",Алматы
2-комнатная квартира · 65 м² · 13/19 этаж,42 000 000 〒,"Алмалинский р-н, Брусиловского 159 — Брусиловского - Шакарима",Алматы
2-комнатная квартира · 53.8 м² · 4/5 этаж,35 500 000 〒,"Ауэзовский р-н, мкр Мамыр 12 — Жандосова",Алматы
2-комнатная квартира · 67 м²,43 000 000 〒,"Турксибский р-н, Достоевского 8/3",Алматы
2-комнатная квартира · 51 м² · 11/13 этаж,35 000 000 〒,"Ауэзовский р-н, Райымбека 348/1 — Петрова",Алматы
2-комнатная квартира · 50.5 м² · 4/5 этаж,39 990 000 〒,"Медеуский р-н, Барибаева 6 — Алимжанова",Алматы
2-комнатная квартира · 54.58 м² · 7/9 этаж,20 500 000 〒,"Жетысуский р-н, мкр Кокжиек, Жолымбет",Алматы
2-комнатная квартира · 42.9 м² · 1/4 этаж,29 000 000 〒,"Ауэзовский р-н, мкр №3 40 — Саина Улугбека",Алматы
2-комнатная квартира · 59 м² · 5/5 этаж,33 000 000 〒,"Жетысуский р-н, мкр Кулагер 78",Алматы
2-комнатная квартира · 48 м² · 16/25 этаж,43 500 000 〒,"Бостандыкский р-н, Абиша Кекилбайулы 270",Алматы
1-комнатная квартира · 44.6 м²,от 53 520 000 〒,"Алмалинский р-н, Шевченко 109",Алматы
1-комнатная квартира · 43.03 м²,от 27 668 290 〒,"Турксибский р-н, Тараз 8/1",Алматы
4-комнатная квартира · 185.2 м² · 1/3 этаж,120 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, 18 улица — Салыкова-18я улица",Алматы
2-комнатная квартира · 73.3 м² · 8/10 этаж,53 500 000 〒,"Алмалинский р-н, Варламова 326 — Карасай батыра",Алматы
2-комнатная квартира · 48.2 м² · 12/12 этаж,34 000 000 〒,"Ауэзовский р-н, мкр Жетысу-3 54 — Абая",Алматы
2-комнатная квартира · 61 м² · 2/13 этаж,61 000 000 〒,"Бостандыкский р-н, Си Синхая 17 — Жарокова",Алматы
3-комнатная квартира · 87.75 м²,от 63 004 500 〒,"Жетысуский р-н, Райымбека 219Б",Алматы
3-комнатная квартира · 127.74 м²,от 183 179 160 〒,"Медеуский р-н, Городская 3",Алматы
2-комнатная квартира · 52 м² · 9/9 этаж,50 000 000 〒,"Бостандыкский р-н, Арайлы 12/2",Алматы
2-комнатная квартира · 50 м² · 3/3 этаж,39 000 000 〒,"Наурызбайский р-н, Егора Редько 3 — Выше Аль-Фараби - Аскарова, р-н школы Бобек",Алматы
3-комнатная квартира · 75.6 м² · 2/3 этаж,75 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Мкрн. Нурлытау 932 — Выше мкр.Казахфильм",Алматы
2-комнатная квартира · 60 м² · 4/10 этаж,49 000 000 〒,"Ауэзовский р-н, Толе би 285/8 к3",Алматы
2-комнатная квартира · 51 м² · 5/10 этаж,29 500 000 〒,"Турксибский р-н, Сейфуллина 51",Алматы
1-комнатная квартира · 50 м² · 1/10 этаж,32 900 000 〒,"Ауэзовский р-н, 12-й мкрн 26",Алматы
3-комнатная квартира · 53.27 м²,от 39 739 420 〒,"Алатауский р-н, Бауыржана Момышулы 11/14а",Алматы
4-комнатная квартира · 128.5 м² · 3/6 этаж,105 000 000 〒,"Ауэзовский р-н, Щепкина 42",Алматы
3-комнатная квартира · 92 м² · 4/5 этаж,55 950 000 〒,"Медеуский р-н, мкр Думан-2 27",Алматы
1-комнатная квартира · 27.6 м² · 3/10 этаж,18 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Жунисова 14/17 — Толе би",Алматы
2-комнатная квартира · 79.8 м²,от 66 234 000 〒,"Ауэзовский р-н, Аскарова — Саина",Алматы
2-комнатная квартира · 58 м² · 2/3 этаж,43 500 000 〒,"Бостандыкский р-н, Мкрн. Нурлытау 932",Алматы
3-комнатная квартира · 152.41 м²,от 236 997 550 〒,"Медеуский р-н, мкр Горный Гигант, Оспанова 1а/11",Алматы
2-комнатная квартира · 74.6 м²,от 43 268 000 〒,"Наурызбайский р-н, мкр Таусамалы, Жандосова 70а",Алматы
4-комнатная квартира · 135.2 м²,от 155 480 000 〒,"Медеуский р-н, Сагадат Нурмагамбетов 71",Алматы
2-комнатная квартира · 111 м²,от 73 260 000 〒,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",Алматы
3-комнатная квартира · 97.71 м²,от 145 210 500 〒,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова 138/2",Алматы
3-комнатная квартира · 123.23 м²,от 245 104 470 〒,"Бостандыкский р-н, мкр Мирас, Саина 1а/1",Алматы
1-комнатная квартира · 46.8 м²,от 36 940 980 〒,"Алатауский р-н, Ботакоз 2/1",Алматы
1-комнатная квартира · 26 м² · 1/5 этаж,17 000 000 〒,"Ауэзовский р-н, мкр Аксай-3 10а",Алматы
1-комнатная квартира · 44 м² · 1/5 этаж,25 500 000 〒,"Жетысуский р-н, мкр Кокжиек, Геологов 9",Алматы
4-комнатная квартира · 150 м² · 1/6 этаж,129 000 000 〒,"Бостандыкский р-н, Наурыз-2 15-27",Алматы
3-комнатная квартира · 70.5 м² · 4/5 этаж,47 500 000 〒,"Алмалинский р-н, мкр Тастак-3, Мкр Тастак-2 15 — Ислам Каримова 15",Алматы
4-комнатная квартира · 100 м² · 5/9 этаж,55 000 000 〒,"Ауэзовский р-н, мкр Тастак-1 — Толе би",Алматы
3-комнатная квартира · 86 м² · 9/13 этаж,80 000 000 〒,"Бостандыкский р-н, Аль-Фараби 97 — угол ул. Ходжанова",Алматы
3-комнатная квартира · 65 м² · 5/5 этаж,40 000 000 〒,"Алмалинский р-н, мкр Тастак-3 — Толе би - Розыбакиева",Алматы
2-комнатная квартира · 67.2 м² · 6/11 этаж,45 999 999 〒,"Ауэзовский р-н, мкр Жетысу-3, Мкр. Жетысу-3 60 — Абая Саина",Алматы
3-комнатная квартира · 105 м² · 3/17 этаж,115 000 000 〒,"Медеуский р-н, Макатаева 2",Алматы
1-комнатная квартира · 45.1 м² · 7/9 этаж,27 500 000 〒,"Турксибский р-н, мкр Жас Канат",Алматы
3-комнатная квартира · 98 м² · 2/21 этаж,120 000 000 〒,"Бостандыкский р-н, Аль-Фараби 27/3 — Сейфуллина",Алматы
3-комнатная квартира · 64 м² · 5/5 этаж,43 000 000 〒,"Жетысуский р-н, мкр Айнабулак-2 54 — Цена снижена , Срочно ‼️‼️‼️‼️",Алматы
2-комнатная квартира · 44.5 м² · 4/4 этаж,26 500 000 〒,"Ауэзовский р-н, мкр №11 16 — Шаляпина",Алматы
2-комнатная квартира · 47.92 м²,от 34 837 840 〒,"Алатауский р-н, Бауыржана Момышулы 11/14а",Алматы
1-комнатная квартира · 43.78 м²,от 44 655 600 〒,"Ауэзовский р-н, мкр Таугуль-3, Шаймерденова 32",Алматы
1-комнатная квартира · 42 м² · 2/9 этаж,35 000 000 〒,"Алмалинский р-н, Айманова 68 — Карасай Батыра",Алматы
2-комнатная квартира · 50 м² · 3/5 этаж,32 000 000 〒,"Ауэзовский р-н, мкр Мамыр 3 — Солнечный проезд",Алматы
2-комнатная квартира · 58 м² · 9/12 этаж,32 500 000 〒,"Алатауский р-н, мкр Дарабоз 42",Алматы
3-комнатная квартира · 71 м² · 3/12 этаж,45 000 000 〒,"Алатауский р-н, мкр Дарабоз",Алматы
2-комнатная квартира · 46 м² · 3/4 этаж,31 500 000 〒,"Ауэзовский р-н, мкр №1 9 — Жубанова/Айриха",Алматы
3-комнатная квартира · 86.6 м²,от 44 382 500 〒,Абая 2а/1,Алматы
3-комнатная квартира · 65.8 м²,от 48 865 359 〒,"Жетысуский р-н, Райымбека — Суюнбая",Алматы
1-комнатная квартира · 43.5 м²,от 16 095 000 〒,"Алатауский р-н, Момышулы, севернее ул. Монке би",Алматы
2-комнатная квартира · 55.7 м² · 11/16 этаж,38 000 000 〒,"Бостандыкский р-н, Жандосова 94А",Алматы
4-комнатная квартира · 82 м² · 5/5 этаж,65 000 000 〒,"Алмалинский р-н, Толе би — Нурмакова",Алматы
2-комнатная квартира · 58 м² · 6/12 этаж,33 800 000 〒,"Алатауский р-н, мкр Акбулак, 1-я улица 75",Алматы
2-комнатная квартира · 50 м² · 13/16 этаж,56 000 000 〒,"Бостандыкский р-н, Сатпаева — Горячая цена",Алматы
2-комнатная квартира · 64 м² · 7/9 этаж,35 000 000 〒,"Алатауский р-н, мкр Зердели, Мкр Зердели (Алгабас-6) — Поликлиника 29, рядом садик",Алматы
3-комнатная квартира · 75.4 м² · 3/5 этаж,37 500 000 〒,"Наурызбайский р-н, мкр Шугыла, Алтын Орда 6/51",Алматы
2-комнатная квартира · 81 м² · 9/14 этаж,75 600 000 〒,"Бостандыкский р-н, Айманова 140\Б3",Алматы
1-комнатная квартира · 40 м² · 1/9 этаж,23 000 000 〒,"Алатауский р-н, мкр Нуркент 71",Алматы
3-комнатная квартира · 69.5 м² · 1/9 этаж,48 000 000 〒,"Ауэзовский р-н, мкр Аксай-2 44",Алматы
1-комнатная квартира · 44 м² · 3/5 этаж,24 700 000 〒,"Жетысуский р-н, мкр Дорожник 36/2 — Около рынок Салем",Алматы
2-комнатная квартира · 66.2 м² · 7/7 этаж,37 999 000 〒,"Турксибский р-н, мкр Кайрат — За рынком “Жетысу”",Алматы
